year,score,total_count,total_cumulative,physics_count,physics_cumulative,chemistry_count,chemistry_cumulative,biology_count,biology_cumulative,politics_count,politics_cumulative,history_count,history_cumulative,geography_count,geography_cumulative
2025,692,7,54,7,54,7,54,7,52,,,,,,
2025,691,14,68,14,68,14,68,14,66,,,,,,
2025,690,12,80,12,80,12,80,12,78,,,,,,
2025,689,13,93,13,93,13,93,13,91,,,,,,
2025,688,13,106,13,106,13,106,13,104,,,,,,
2025,687,13,119,13,119,13,119,12,116,,,,,,
2025,686,16,135,16,135,16,135,15,131,,,,,,
2025,685,20,155,20,155,20,155,20,151,,,,,,
2025,684,26,181,26,181,26,181,25,176,,,,,,
2025,683,30,211,30,211,30,211,30,206,,,,,,
2025,682,35,246,33,244,33,244,33,239,,,,,,
2025,681,43,289,41,285,42,286,41,280,,,,,,
2025,680,37,326,36,321,36,322,33,313,,,,,,
2025,679,43,369,41,362,41,363,39,352,,,,,,
2025,678,35,404,35,397,35,398,32,384,,,,,,
2025,677,38,442,37,434,38,436,35,419,,,,,,
2025,676,51,493,50,484,50,486,46,465,,,,,,
2025,675,51,544,51,535,51,537,47,512,,,,,,
2025,674,52,596,48,583,48,585,46,558,,,,,,
2025,673,63,659,56,639,57,642,56,614,,,,,7,32
2025,672,71,730,68,707,68,710,67,681,4,30,,,3,35
2025,671,77,807,69,776,69,779,68,749,8,38,8,35,9,44
2025,670,83,890,82,858,82,861,79,828,1,39,2,37,3,47
2025,669,85,975,81,939,81,942,78,906,5,44,5,42,5,52
2025,668,79,1054,77,1016,77,1019,74,980,3,47,2,44,4,56
2025,667,96,1150,88,1104,88,1107,82,1062,9,56,10,54,11,67
2025,666,112,1262,106,1210,105,1212,105,1167,7,63,6,60,7,74
2025,665,99,1361,91,1301,93,1305,86,1253,8,71,9,69,10,84
2025,664,124,1485,120,1421,119,1424,112,1365,6,77,6,75,9,93
2025,663,108,1593,99,1520,99,1523,86,1451,15,92,10,85,15,108
2025,662,127,1720,113,1633,113,1636,107,1558,14,106,15,100,19,127
2025,661,122,1842,113,1746,113,1749,108,1666,10,116,8,108,14,141
2025,660,123,1965,113,1859,113,1862,99,1765,13,129,11,119,20,161
2025,659,133,2098,122,1981,123,1985,117,1882,14,143,10,129,13,174
2025,658,138,2236,127,2108,126,2111,117,1999,15,158,14,143,15,189
2025,657,150,2386,137,2245,139,2250,131,2130,16,174,12,155,15,204
2025,656,154,2540,142,2387,142,2392,122,2252,18,192,13,168,25,229
2025,655,169,2709,158,2545,158,2550,147,2399,13,205,11,179,20,249
2025,654,175,2884,161,2706,158,2708,144,2543,21,226,16,195,25,274
2025,653,164,3048,146,2852,146,2854,129,2672,24,250,20,215,27,301
2025,652,171,3219,153,3005,153,3007,141,2813,23,273,19,234,24,325
2025,651,217,3436,190,3195,191,3198,178,2991,34,307,28,262,30,355
2025,650,185,3621,159,3354,160,3358,148,3139,27,334,26,288,35,390
2025,649,173,3794,155,3509,155,3513,140,3279,23,357,20,308,26,416
2025,648,211,4005,185,3694,185,3698,169,3448,33,390,25,333,36,452
2025,647,198,4203,166,3860,167,3865,147,3595,34,424,32,365,48,500
2025,646,236,4439,206,4066,206,4071,184,3779,34,458,31,396,47,547
2025,645,234,4673,206,4272,206,4277,188,3967,29,487,33,429,40,587
2025,644,233,4906,203,4475,203,4480,183,4150,34,521,30,459,46,633
2025,643,245,5151,208,4683,207,4687,191,4341,41,562,40,499,48,681
2025,642,250,5401,220,4903,219,4906,194,4535,37,599,34,533,46,727
2025,641,230,5631,204,5107,205,5111,183,4718,28,627,27,560,43,770
2025,640,270,5901,227,5334,227,5338,199,4917,59,686,45,605,53,823
2025,639,272,6173,228,5562,227,5565,202,5119,51,737,47,652,61,884
2025,638,273,6446,234,5796,236,5801,205,5324,47,784,42,694,55,939
2025,637,284,6730,224,6020,223,6024,204,5528,66,850,61,755,74,1013
2025,636,281,7011,235,6255,232,6256,201,5729,55,905,54,809,66,1079
2025,635,282,7293,231,6486,229,6485,209,5938,56,961,52,861,69,1148
2025,634,335,7628,292,6778,294,6779,254,6192,51,1012,47,908,67,1215
2025,633,315,7943,266,7044,264,7043,230,6422,62,1074,50,958,73,1288
2025,632,316,8259,263,7307,263,7306,228,6650,63,1137,57,1015,74,1362
2025,631,342,8601,279,7586,280,7586,247,6897,68,1205,68,1083,84,1446
2025,630,420,9021,335,7921,336,7922,288,7185,99,1304,85,1168,117,1563
2025,629,366,9387,284,8205,286,8208,252,7437,94,1398,83,1251,99,1662
2025,628,364,9751,291,8496,287,8495,257,7694,84,1482,78,1329,95,1757
2025,627,425,10176,337,8833,336,8831,292,7986,103,1585,93,1422,114,1871
2025,626,447,10623,359,9192,356,9187,311,8297,100,1685,96,1518,119,1990
2025,625,435,11058,347,9539,343,9530,302,8599,100,1785,91,1609,122,2112
2025,624,388,11446,308,9847,304,9834,262,8861,93,1878,88,1697,109,2221
2025,623,393,11839,309,10156,313,10147,269,9130,94,1972,86,1783,108,2329
2025,622,449,12288,365,10521,365,10512,311,9441,98,2070,90,1873,118,2447
2025,621,465,12753,343,10864,342,10854,300,9741,132,2202,127,2000,151,2598
2025,620,452,13205,349,11213,349,11203,283,10024,120,2322,108,2108,147,2745
2025,619,479,13684,365,11578,367,11570,312,10336,131,2453,113,2221,149,2894
2025,618,475,14159,357,11935,356,11926,297,10633,135,2588,124,2345,156,3050
2025,617,484,14643,344,12279,343,12269,287,10920,155,2743,148,2493,175,3225
2025,616,524,15167,393,12672,394,12663,321,11241,151,2894,132,2625,181,3406
2025,615,563,15730,417,13089,416,13079,352,11593,162,3056,144,2769,198,3604
2025,614,517,16247,390,13479,387,13466,335,11928,146,3202,129,2898,164,3768
2025,613,550,16797,421,13900,419,13885,344,12272,150,3352,136,3034,180,3948
2025,612,561,17358,416,14316,416,14301,339,12611,162,3514,149,3183,201,4149
2025,611,582,17940,421,14737,421,14722,358,12969,177,3691,165,3348,204,4353
2025,610,590,18530,442,15179,440,15162,364,13333,163,3854,158,3506,203,4556
2025,609,602,19132,442,15621,438,15600,359,13692,188,4042,167,3673,212,4768
2025,608,620,19752,455,16076,456,16056,381,14073,182,4224,162,3835,224,4992
2025,607,589,20341,422,16498,419,16475,353,14426,188,4412,167,4002,218,5210
2025,606,617,20958,454,16952,450,16925,361,14787,188,4600,169,4171,229,5439
2025,605,702,21660,517,17469,513,17438,411,15198,214,4814,191,4362,260,5699
2025,604,683,22343,492,17961,489,17927,399,15597,219,5033,195,4557,255,5954
2025,603,667,23010,465,18426,466,18393,387,15984,220,5253,208,4765,255,6209
2025,602,653,23663,460,18886,462,18855,380,16364,215,5468,193,4958,249,6458
2025,601,700,24363,493,19379,493,19348,407,16771,227,5695,205,5163,275,6733
2025,600,698,25061,479,19858,479,19827,373,17144,245,5940,228,5391,290,7023
2025,599,726,25787,491,20349,490,20317,392,17536,266,6206,238,5629,301,7324
2025,598,705,26492,505,20854,504,20821,384,17920,235,6441,204,5833,283,7607
2025,597,737,27229,496,21350,495,21316,394,18314,285,6726,240,6073,301,7908
2025,596,748,27977,529,21879,528,21844,432,18746,249,6975,223,6296,283,8191
2025,595,727,28704,521,22400,517,22361,425,19171,239,7214,208,6504,271,8462
2025,594,845,29549,570,22970,566,22927,455,19626,309,7523,288,6792,347,8809
2025,593,846,30395,578,23548,576,23503,469,20095,313,7836,267,7059,335,9144
2025,592,878,31273,601,24149,595,24098,477,20572,303,8139,276,7335,382,9526
2025,591,850,32123,571,24720,560,24658,449,21021,303,8442,288,7623,379,9905
2025,590,843,32966,567,25287,555,25213,459,21480,327,8769,286,7909,335,10240
2025,589,869,33835,605,25892,601,25814,464,21944,305,9074,268,8177,364,10604
2025,588,881,34716,597,26489,587,26401,492,22436,301,9375,286,8463,380,10984
2025,587,919,35635,630,27119,621,27022,504,22940,349,9724,295,8758,358,11342
2025,586,875,36510,584,27703,575,27597,469,23409,322,10046,294,9052,381,11723
2025,585,989,37499,658,28361,650,28247,526,23935,375,10421,334,9386,424,12147
2025,584,978,38477,635,28996,628,28875,493,24428,389,10810,343,9729,446,12593
2025,583,1016,39493,671,29667,663,29538,545,24973,372,11182,344,10073,453,13046
2025,582,1063,40556,686,30353,682,30220,547,25520,411,11593,380,10453,483,13529
2025,581,1015,41571,688,31041,688,30908,547,26067,337,11930,329,10782,456,13985
2025,580,1074,42645,717,31758,715,31623,561,26628,394,12324,362,11144,473,14458
2025,579,1063,43708,715,32473,705,32328,572,27200,374,12698,351,11495,472,14930
2025,578,1037,44745,678,33151,668,32996,527,27727,396,13094,363,11858,479,15409
2025,577,1094,45839,706,33857,693,33689,560,28287,453,13547,390,12248,480,15889
2025,576,1144,46983,714,34571,716,34405,579,28866,463,14010,421,12669,539,16428
2025,575,1212,48195,767,35338,760,35165,605,29471,495,14505,446,13115,563,16991
2025,574,1116,49311,711,36049,707,35872,570,30041,448,14953,399,13514,513,17504
2025,573,1204,50515,801,36850,794,36666,613,30654,459,15412,410,13924,535,18039
2025,572,1157,51672,743,37593,733,37399,621,31275,444,15856,416,14340,514,18553
2025,571,1227,52899,766,38359,758,38157,603,31878,514,16370,452,14792,588,19141
2025,570,1228,54127,771,39130,768,38925,621,32499,507,16877,449,15241,568,19709
2025,569,1215,55342,789,39919,777,39702,610,33109,465,17342,428,15669,576,20285
2025,568,1256,56598,770,40689,761,40463,567,33676,553,17895,486,16155,631,20916
2025,567,1264,57862,785,41474,777,41240,614,34290,527,18422,479,16634,610,21526
2025,566,1290,59152,825,42299,821,42061,646,34936,500,18922,465,17099,613,22139
2025,565,1285,60437,845,43144,826,42887,640,35576,513,19435,447,17546,584,22723
2025,564,1297,61734,833,43977,827,43714,625,36201,537,19972,465,18011,604,23327
2025,563,1372,63106,830,44807,822,44536,662,36863,601,20573,536,18547,665,23992
2025,562,1465,64571,908,45715,880,45416,721,37584,630,21203,555,19102,701,24693
2025,561,1408,65979,906,46621,905,46321,731,38315,543,21746,499,19601,640,25333
2025,560,1418,67397,897,47518,884,47205,691,39006,585,22331,519,20120,678,26011
2025,559,1496,68893,913,48431,897,48102,725,39731,651,22982,570,20690,732,26743
2025,558,1423,70316,872,49303,862,48964,672,40403,600,23582,555,21245,708,27451
2025,557,1545,71861,958,50261,937,49901,775,41178,645,24227,583,21828,737,28188
2025,556,1543,73404,981,51242,966,50867,799,41977,605,24832,561,22389,717,28905
2025,555,1504,74908,897,52139,889,51756,679,42656,664,25496,593,22982,790,29695
2025,554,1558,76466,990,53129,969,52725,730,43386,658,26154,562,23544,765,30460
2025,553,1608,78074,995,54124,981,53706,750,44136,669,26823,611,24155,818,31278
2025,552,1595,79669,929,55053,917,54623,718,44854,724,27547,663,24818,834,32112
2025,551,1562,81231,981,56034,971,55594,758,45612,660,28207,569,25387,747,32859
2025,550,1697,82928,1054,57088,1024,56618,767,46379,710,28917,647,26034,889,33748
2025,549,1670,84598,1043,58131,998,57616,737,47116,728,29645,630,26664,874,34622
2025,548,1653,86251,993,59124,965,58581,742,47858,737,30382,662,27326,860,35482
2025,547,1667,87918,1033,60157,991,59572,767,48625,717,31099,633,27959,860,36342
2025,546,1725,89643,1036,61193,1009,60581,773,49398,779,31878,675,28634,903,37245
2025,545,1771,91414,1098,62291,1068,61649,803,50201,784,32662,664,29298,896,38141
2025,544,1839,93253,1100,63391,1074,62723,869,51070,828,33490,719,30017,927,39068
2025,543,1728,94981,1047,64438,1038,63761,804,51874,734,34224,673,30690,888,39956
2025,542,1829,96810,1119,65557,1097,64858,880,52754,778,35002,715,31405,898,40854
2025,541,1811,98621,1130,66687,1105,65963,866,53620,746,35748,676,32081,910,41764
2025,540,1829,100450,1065,67752,1043,67006,825,54445,834,36582,748,32829,972,42736
2025,539,1826,102276,1112,68864,1084,68090,817,55262,817,37399,710,33539,938,43674
2025,538,1878,104154,1101,69965,1072,69162,816,56078,873,38272,776,34315,996,44670
2025,537,1923,106077,1149,71114,1101,70263,874,56952,870,39142,770,35085,1005,45675
2025,536,1861,107938,1115,72229,1096,71359,845,57797,809,39951,721,35806,997,46672
