year,batch,category,school_code,school_name,major_code,major_name,subject_requirement,level,study_years,plan_count,annual_fee
2024,常规批第2次,普通类,A012,北京服装学院,24,轻化工程（退档后缺额计划）（不招色盲、色弱考生）,物理和化学,,4,1,4600
2024,常规批第2次,普通类,A094,河北师范大学,40,汉语言（新增计划）,历史,,4,1,4600
2024,常规批第2次,普通类,A119,太原师范学院,13,物理学(师范类),物理和化学,,4,5,5000
2024,常规批第2次,普通类,A136,内蒙古民族大学,82,物理学(师范类),物理和化学,,4,1,4600
2024,常规批第2次,普通类,A224,东北农业大学,30,生物科学(国家理科基地拔尖人才培养班)（实行3年+2年+4年培养模式，分流培养末位淘汰）（退档后缺额计划）（不招色盲、色弱考生）,物理和化学,,4,1,4500
2024,常规批第2次,普通类,A228,黑龙江中医药大学,03,中医学（退档后缺额计划）（不招色盲、色弱考生）,物理和生物,,5,1,5000
2024,常规批第2次,普通类,A341,浙江农林大学,5Y,林学(中外合作办学)（与加拿大不列颠哥伦比亚大学合作。高考外语成绩要求不低于110分）,物理和化学,,4,1,20000
2024,常规批第2次,普通类,A389,福建农林大学,D2,林学类（(林学、森林保护、水土保持与荒漠化防治)(专业体检受限要求详见学校招生章程)）,物理和化学,,4,2,5460
2024,常规批第2次,普通类,A399,泉州师范学院,09,物理学(师范类),物理和化学,,4,2,5040
2024,常规批第2次,普通类,A402,闽南师范大学,1F,数据计算及应用(中美人才培养计划实验班)（只招英语语种考生，且英语成绩不低于90分；采用“1+2+1”模式，须按普通专业标准向我校缴纳四年学费；第二、三学年赴美国合作高校学习期间，还须按美方合作高校当年标准向美方合作高校缴纳学费，具体详见招生章程）,物理和化学,,4,2,5460
2024,常规批第2次,普通类,A402,闽南师范大学,2V,生物科学(师范类),物理和化学,,4,1,5040
2024,常规批第2次,普通类,A414,江西师范大学,AP,生物科学(师范类),物理和化学,,4,11,4940
2024,常规批第2次,普通类,A418,赣南师范大学,70,应用化学,物理和化学,,4,1,4530
2024,常规批第2次,普通类,A431,齐鲁工业大学,2L,酿酒工程(中外合作办学)（与新西兰东部理工学院合作；部分课程为英语或双语教学，非英语语种考生谨慎报考）,物理和化学,,4,54,45000
2024,常规批第2次,普通类,A431,齐鲁工业大学,2M,应用化学(中外合作办学)（与芬兰坦佩雷应用科学大学合作；部分课程为英语或双语教学，非英语语种考生谨慎报考）,物理和化学,,4,14,45000
2024,常规批第2次,普通类,A431,齐鲁工业大学,2N,生物技术(中外合作办学)（与乌克兰基辅国立工艺设计大学合作；部分课程为英语或双语教学，非英语语种考生谨慎报考）,物理和化学,,4,14,45000
2024,常规批第2次,普通类,A431,齐鲁工业大学,2P,轻化工程(中外合作办学)（与乌克兰基辅国立工艺设计大学合作；部分课程为英语或双语教学，非英语语种考生谨慎报考）,物理和化学,,4,23,45000
2024,常规批第2次,普通类,A435,青岛农业大学,H2,农业资源与环境(中外合作办学)(英国皇家农业大学)（因专业采用英语教学，学科培养对英语有较高要求，建议英语成绩不低于100分的考生报考）,物理和化学,,4,26,58000
2024,常规批第2次,普通类,A435,青岛农业大学,H3,食品科学与工程(中外合作办学)(英国皇家农业大学)（因专业采用英语教学，学科培养对英语有较高要求，建议英语成绩不低于100分的考生报考）,物理和化学,,4,17,58000
2024,常规批第2次,普通类,A439,山东第一医科大学,01,临床医学（济南校区）（退档后缺额计划）（不招色盲、色弱考生）,物理和化学,,5,1,7900
2024,常规批第2次,普通类,A439,山东第一医科大学,2L,放射医学（济南校区）（退档后缺额计划）（不招色盲、色弱考生）,物理和化学,,5,1,7500
2024,常规批第2次,普通类,A439,山东第一医科大学,2P,预防医学（济南校区）（退档后缺额计划）（不招色盲、色弱考生）,物理和化学,,5,1,7500
2024,常规批第2次,普通类,A439,山东第一医科大学,2S,生物技术（济南校区）（退档后缺额计划）（不招色盲、色弱考生）,物理和化学,,4,1,6300
2024,常规批第2次,普通类,A447,聊城大学,1T,生物科学(师范类),物理和化学,,4,77,6300
2024,常规批第2次,普通类,A448,德州学院,25,物理学(师范类),物理和化学,,4,22,5500
2024,常规批第2次,普通类,A448,德州学院,0Z,生物技术(中外合作办学)（与俄罗斯别尔哥罗德国家研究型大学合作）,物理和化学,,4,20,28000
2024,常规批第2次,普通类,A451,鲁东大学,57,葡萄与葡萄酒工程(中外合作办学)(与意大利萨萨里大学合作办学),物理和化学,,4,48,46000
2024,常规批第2次,普通类,A451,鲁东大学,60,船舶与海洋工程(中外合作办学)(与韩国蔚山大学合作办学),物理和化学,,4,21,48000
2024,常规批第2次,普通类,A452,临沂大学,NJ,生物技术(中外合作办学)（与乌克兰国立生物资源与自然资源合理利用大学合作，本专业采用英语教学，非英语语种考生慎重报考）,物理和化学,,4,42,48000
2024,常规批第2次,普通类,A452,临沂大学,NL,食品科学与工程(中外合作办学)（与乌克兰国立生物资源与自然资源合理利用大学合作，本专业采用英语教学，非英语语种考生慎重报考）,物理和化学,,4,38,48000
2024,常规批第2次,普通类,A452,临沂大学,NM,动物科学(中外合作办学)（与乌克兰国立生物资源与自然资源合理利用大学合作，本专业采用英语教学，非英语语种考生慎重报考）,物理和化学,,4,50,48000
2024,常规批第2次,普通类,A454,济宁学院,H1,食品科学与工程(中外合作办学)(与意大利福贾大学合作),物理和化学,,4,4,30000
2024,常规批第2次,普通类,A478,周口师范学院,23,物理学(师范类),物理和化学,,4,1,5000
2024,常规批第2次,普通类,A524,中南民族大学,27,化学类（应用化学(能源催化材料基础理论及研发应用)、化学工程与工艺(绿色能源化工与生物质能源转化材料方向)）（退档后缺额计划）（不招色盲、色弱考生）,物理和化学,,4,1,4500
2024,常规批第2次,普通类,A545,湘南学院,46,化学(师范类)（退档后缺额计划）（不招色盲、色弱考生）,物理和化学,,4,1,4000
2024,常规批第2次,普通类,A573,广东药科大学,0N,预防医学,物理和化学,,5,1,6960
