year,round,major_code,major_name,school_code,school_name,plan_count,min_rank
2023,2,14,生物工程(中外合作办学)(中美双学位、生物过程工程),A010,北京化工大学,1,34158
2023,2,33,水产养殖学,A019,中国农业大学,1,18801
2023,2,11,过程装备与控制工程,A081,华北理工大学,1,40361
2023,2,09,过程装备与控制工程,A110,中北大学,1,30690
2023,2,19,安全工程,A128,内蒙古工业大学,1,45998
2023,2,C2,制药工程,A129,内蒙古农业大学,1,59759
2023,2,0G,阿拉伯语,A172,大连外国语大学,1,101945
2023,2,45,德语,A203,吉林师范大学,1,86180
2023,2,1D,俄语(师范类),A205,长春师范大学,2,115086
2023,2,89,生物技术,A212,黑龙江大学,1,27547
2023,2,24,生物科学类,A225,东北林业大学,1,19374
2023,2,H2,消防工程,A292,常州大学,1,83630
2023,2,06,轻化工程,A338,浙江理工大学,1,23156
2023,2,32,生物技术,A344,浙江中医药大学,1,19509
2023,2,1J,英语(外贸方向),A405,东华理工大学,2,99656
2023,2,K1,日语,A407,江西理工大学,3,114931
2023,2,66,汉语国际教育(商务方向),A421,江西财经大学,1,96350
2023,2,XV,房地产开发与管理(地方专项计划),A429,青岛理工大学,1,96630
2023,2,1F,预防医学,A440,滨州医学院,1,70646
2023,2,1Q,口腔医学技术,A440,滨州医学院,1,104006
2023,2,1S,护理学,A440,滨州医学院,1,104907
2023,2,17,应用心理学,A441,山东中医药大学,1,80697
2023,2,21,生物医学工程,A441,山东中医药大学,1,78431
2023,2,33,智能医学工程,A441,山东中医药大学,1,58934
2023,2,06,预防医学,A443,济宁医学院,1,85038
2023,2,15,康复治疗学,A443,济宁医学院,1,97092
2023,2,17,卫生检验与检疫,A443,济宁医学院,1,110941
2023,2,1V,新闻学,A446,曲阜师范大学,1,63602
2023,2,59,科学教育(师范类),A602,广西师范大学,1,100400
2023,2,12,矿业类,A619,西南科技大学,2,65734
2023,2,19,土木类,A619,西南科技大学,2,34339
2023,2,48,药学,A694,西藏大学,1,59463
2023,2,P7,金融学,A742,西北民族大学,2,65453
2023,2,P8,经济学,A742,西北民族大学,1,91311
2023,2,13,动物医学,A757,塔里木大学,1,115013
2023,2,38,口腔医学,A868,青岛滨海学院,1,142834
2023,2,27,化学,B079,成都大学,1,45863
2023,2,0H,应用化学,B104,华北科技学院,1,111230
2023,2,04,医学影像技术,B407,北方民族大学,3,107246
2023,2,23,包装工程,B535,湖南工业大学,1,98973
2023,2,05,金融工程,B600,湖北经济学院,1,70433
2023,2,27,法学,B600,湖北经济学院,1,49135
2023,2,37,资源与环境经济学(低碳经济与管理),B600,湖北经济学院,3,90953
2023,2,0T,能源化学工程,B607,北部湾大学,1,108917
